Serial_number:,,,,
2171461,,,,
Project ID:,,,,
,,,,
Location:,,,,
phelps,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
8/29/2025,10:00:00 AM,0,10.6178,18.179
8/29/2025,10:15:00 AM,0,10.6165,18.117
8/29/2025,10:30:00 AM,0,10.6153,18.104
8/29/2025,10:45:00 AM,0,10.6133,18.096
8/29/2025,11:00:00 AM,0,10.6122,18.095
8/29/2025,11:15:00 AM,0,10.6121,18.097
8/29/2025,11:30:00 AM,0,10.612,18.102
8/29/2025,11:45:00 AM,0,10.6093,18.106
8/29/2025,12:00:00 PM,0,10.6078,18.113
8/29/2025,12:15:00 PM,0,10.6052,18.119
8/29/2025,12:30:00 PM,0,10.6041,18.125
8/29/2025,12:45:00 PM,0,10.6028,18.133
8/29/2025,1:00:00 PM,0,10.6014,18.141
8/29/2025,1:15:00 PM,0,10.5993,18.148
8/29/2025,1:30:00 PM,0,10.5971,18.157
8/29/2025,1:45:00 PM,0,10.5966,18.168
8/29/2025,2:00:00 PM,0,10.5949,18.177
8/29/2025,2:15:00 PM,0,10.5932,18.186
8/29/2025,2:30:00 PM,0,10.5916,18.197
8/29/2025,2:45:00 PM,0,10.5896,18.208
8/29/2025,3:00:00 PM,0,10.5878,18.22
8/29/2025,3:15:00 PM,0,10.5868,18.232
8/29/2025,3:30:00 PM,0,10.5852,18.245
8/29/2025,3:45:00 PM,0,10.5844,18.257
8/29/2025,4:00:00 PM,0,10.5828,18.269
8/29/2025,4:15:00 PM,0,10.582,18.283
8/29/2025,4:30:00 PM,0,10.5805,18.298
8/29/2025,4:45:00 PM,0,10.578,18.313
8/29/2025,5:00:00 PM,0,10.5774,18.327
8/29/2025,5:15:00 PM,0,10.5764,18.341
8/29/2025,5:30:00 PM,0,10.5761,18.357
8/29/2025,5:45:00 PM,0,10.5743,18.37
8/29/2025,6:00:00 PM,0,10.5723,18.383
8/29/2025,6:15:00 PM,0,10.5716,18.398
8/29/2025,6:30:00 PM,0,10.5721,18.41
8/29/2025,6:45:00 PM,0,10.5725,18.424
8/29/2025,7:00:00 PM,0,10.5739,18.438
8/29/2025,7:15:00 PM,0,10.5754,18.452
8/29/2025,7:30:00 PM,0,10.5773,18.465
8/29/2025,7:45:00 PM,0,10.5781,18.481
8/29/2025,8:00:00 PM,0,10.5786,18.495
8/29/2025,8:15:00 PM,0,10.5786,18.51
8/29/2025,8:30:00 PM,0,10.5783,18.525
8/29/2025,8:45:00 PM,0,10.5782,18.539
8/29/2025,9:00:00 PM,0,10.5781,18.549
8/29/2025,9:15:00 PM,0,10.5782,18.561
8/29/2025,9:30:00 PM,0,10.578,18.573
8/29/2025,9:45:00 PM,0,10.5765,18.581
8/29/2025,10:00:00 PM,0,10.5772,18.588
8/29/2025,10:15:00 PM,0,10.5771,18.599
8/29/2025,10:30:00 PM,0,10.5775,18.607
8/29/2025,10:45:00 PM,0,10.5774,18.611
8/29/2025,11:00:00 PM,0,10.5772,18.618
8/29/2025,11:15:00 PM,0,10.5787,18.622
8/29/2025,11:30:00 PM,0,10.5778,18.629
8/29/2025,11:45:00 PM,0,10.5782,18.636
8/30/2025,12:00:00 AM,0,10.5774,18.64
8/30/2025,12:15:00 AM,0,10.5764,18.644
8/30/2025,12:30:00 AM,0,10.5755,18.647
8/30/2025,12:45:00 AM,0,10.5753,18.651
8/30/2025,1:00:00 AM,0,10.5762,18.653
8/30/2025,1:15:00 AM,0,10.5757,18.656
8/30/2025,1:30:00 AM,0,10.5756,18.656
8/30/2025,1:45:00 AM,0,10.5752,18.659
8/30/2025,2:00:00 AM,0,10.5753,18.66
8/30/2025,2:15:00 AM,0,10.5755,18.662
8/30/2025,2:30:00 AM,0,10.575,18.66
8/30/2025,2:45:00 AM,0,10.5746,18.661
8/30/2025,3:00:00 AM,0,10.573,18.659
8/30/2025,3:15:00 AM,0,10.5723,18.656
8/30/2025,3:30:00 AM,0,10.5724,18.651
8/30/2025,3:45:00 AM,0,10.5724,18.646
8/30/2025,4:00:00 AM,0,10.5716,18.637
8/30/2025,4:15:00 AM,0,10.5729,18.626
8/30/2025,4:30:00 AM,0,10.5744,18.609
8/30/2025,4:45:00 AM,0,10.575,18.596
8/30/2025,5:00:00 AM,0,10.5762,18.576
8/30/2025,5:15:00 AM,0,10.5805,18.556
8/30/2025,5:30:00 AM,0,10.5808,18.532
8/30/2025,5:45:00 AM,0,10.5822,18.507
8/30/2025,6:00:00 AM,0,10.5818,18.482
8/30/2025,6:15:00 AM,0,10.582,18.458
8/30/2025,6:30:00 AM,0,10.5816,18.433
8/30/2025,6:45:00 AM,0,10.5824,18.415
8/30/2025,7:00:00 AM,0,10.5835,18.406
8/30/2025,7:15:00 AM,0,10.5847,18.399
8/30/2025,7:30:00 AM,0,10.5847,18.395
8/30/2025,7:45:00 AM,0,10.5853,18.39
8/30/2025,8:00:00 AM,0,10.5847,18.384
8/30/2025,8:15:00 AM,0,10.5849,18.377
8/30/2025,8:30:00 AM,0,10.5849,18.371
8/30/2025,8:45:00 AM,0,10.5842,18.363
8/30/2025,9:00:00 AM,0,10.5844,18.359
8/30/2025,9:15:00 AM,0,10.5843,18.353
8/30/2025,9:30:00 AM,0,10.5849,18.348
8/30/2025,9:45:00 AM,0,10.5848,18.347
8/30/2025,10:00:00 AM,0,10.5846,18.345
8/30/2025,10:15:00 AM,0,10.584,18.345
8/30/2025,10:30:00 AM,0,10.5837,18.346
8/30/2025,10:45:00 AM,0,10.5823,18.347
8/30/2025,11:00:00 AM,0,10.5807,18.35
8/30/2025,11:15:00 AM,0,10.5792,18.352
8/30/2025,11:30:00 AM,0,10.5777,18.355
8/30/2025,11:45:00 AM,0,10.5752,18.361
8/30/2025,12:00:00 PM,0,10.5738,18.365
8/30/2025,12:15:00 PM,0,10.5719,18.37
8/30/2025,12:30:00 PM,0,10.5704,18.374
8/30/2025,12:45:00 PM,0,10.5692,18.382
8/30/2025,1:00:00 PM,0,10.567,18.389
8/30/2025,1:15:00 PM,0,10.5671,18.394
8/30/2025,1:30:00 PM,0,10.5664,18.402
8/30/2025,1:45:00 PM,0,10.5662,18.41
8/30/2025,2:00:00 PM,0,10.5641,18.419
8/30/2025,2:15:00 PM,0,10.5623,18.431
8/30/2025,2:30:00 PM,0,10.5613,18.439
8/30/2025,2:45:00 PM,0,10.5596,18.452
8/30/2025,3:00:00 PM,0,10.5577,18.463
8/30/2025,3:15:00 PM,0,10.5552,18.474
8/30/2025,3:30:00 PM,0,10.5533,18.487
8/30/2025,3:45:00 PM,0,10.552,18.501
8/30/2025,4:00:00 PM,0,10.5513,18.512
8/30/2025,4:15:00 PM,0,10.5508,18.528
8/30/2025,4:30:00 PM,0,10.5499,18.541
8/30/2025,4:45:00 PM,0,10.5494,18.557
8/30/2025,5:00:00 PM,0,10.5493,18.57
8/30/2025,5:15:00 PM,0,10.5504,18.585
8/30/2025,5:30:00 PM,0,10.551,18.598
8/30/2025,5:45:00 PM,0,10.5508,18.612
8/30/2025,6:00:00 PM,0,10.5503,18.629
8/30/2025,6:15:00 PM,0,10.5497,18.64
8/30/2025,6:30:00 PM,0,10.549,18.654
8/30/2025,6:45:00 PM,0,10.5492,18.669
8/30/2025,7:00:00 PM,0,10.5488,18.681
8/30/2025,7:15:00 PM,0,10.5495,18.695
8/30/2025,7:30:00 PM,0,10.5491,18.708
8/30/2025,7:45:00 PM,0,10.5496,18.719
8/30/2025,8:00:00 PM,0,10.5512,18.73
8/30/2025,8:15:00 PM,0,10.5524,18.743
8/30/2025,8:30:00 PM,0,10.5546,18.754
8/30/2025,8:45:00 PM,0,10.556,18.765
8/30/2025,9:00:00 PM,0,10.5568,18.775
8/30/2025,9:15:00 PM,0,10.557,18.784
8/30/2025,9:30:00 PM,0,10.5573,18.793
8/30/2025,9:45:00 PM,0,10.5578,18.801
8/30/2025,10:00:00 PM,0,10.5586,18.809
8/30/2025,10:15:00 PM,0,10.5574,18.816
8/30/2025,10:30:00 PM,0,10.557,18.822
8/30/2025,10:45:00 PM,0,10.5559,18.827
8/30/2025,11:00:00 PM,0,10.5552,18.832
8/30/2025,11:15:00 PM,0,10.5546,18.836
8/30/2025,11:30:00 PM,0,10.5556,18.838
8/30/2025,11:45:00 PM,0,10.5557,18.84
8/31/2025,12:00:00 AM,0,10.5564,18.841
8/31/2025,12:15:00 AM,0,10.558,18.842
8/31/2025,12:30:00 AM,0,10.5594,18.838
8/31/2025,12:45:00 AM,0,10.5603,18.837
8/31/2025,1:00:00 AM,0,10.5616,18.834
8/31/2025,1:15:00 AM,0,10.5624,18.831
8/31/2025,1:30:00 AM,0,10.5626,18.826
8/31/2025,1:45:00 AM,0,10.562,18.82
8/31/2025,2:00:00 AM,0,10.5623,18.813
8/31/2025,2:15:00 AM,0,10.5625,18.806
8/31/2025,2:30:00 AM,0,10.5612,18.796
8/31/2025,2:45:00 AM,0,10.561,18.783
8/31/2025,3:00:00 AM,0,10.56,18.767
8/31/2025,3:15:00 AM,0,10.56,18.747
8/31/2025,3:30:00 AM,0,10.5618,18.724
8/31/2025,3:45:00 AM,0,10.5625,18.7
8/31/2025,4:00:00 AM,0,10.5636,18.677
8/31/2025,4:15:00 AM,0,10.5631,18.651
8/31/2025,4:30:00 AM,0,10.5622,18.631
8/31/2025,4:45:00 AM,0,10.5618,18.61
8/31/2025,5:00:00 AM,0,10.5628,18.587
8/31/2025,5:15:00 AM,0,10.5646,18.566
8/31/2025,5:30:00 AM,0,10.5671,18.54
8/31/2025,5:45:00 AM,0,10.5688,18.512
8/31/2025,6:00:00 AM,0,10.5708,18.484
8/31/2025,6:15:00 AM,0,10.5706,18.463
8/31/2025,6:30:00 AM,0,10.5715,18.447
8/31/2025,6:45:00 AM,0,10.5715,18.433
8/31/2025,7:00:00 AM,0,10.5711,18.428
8/31/2025,7:15:00 AM,0,10.5714,18.424
8/31/2025,7:30:00 AM,0,10.5712,18.418
8/31/2025,7:45:00 AM,0,10.5729,18.414
8/31/2025,8:00:00 AM,0,10.5729,18.409
8/31/2025,8:15:00 AM,0,10.573,18.402
8/31/2025,8:30:00 AM,0,10.5732,18.392
8/31/2025,8:45:00 AM,0,10.5738,18.388
8/31/2025,9:00:00 AM,0,10.5734,18.382
8/31/2025,9:15:00 AM,0,10.5725,18.374
8/31/2025,9:30:00 AM,0,10.5729,18.371
8/31/2025,9:45:00 AM,0,10.5735,18.366
8/31/2025,10:00:00 AM,0,10.5745,18.363
8/31/2025,10:15:00 AM,0,10.5744,18.361
8/31/2025,10:30:00 AM,0,10.5739,18.362
8/31/2025,10:45:00 AM,0,10.5729,18.365
8/31/2025,11:00:00 AM,0,10.5718,18.367
8/31/2025,11:15:00 AM,0,10.5708,18.372
8/31/2025,11:30:00 AM,0,10.5692,18.375
8/31/2025,11:45:00 AM,0,10.5683,18.378
8/31/2025,12:00:00 PM,0,10.5679,18.385
8/31/2025,12:15:00 PM,0,10.5671,18.39
8/31/2025,12:30:00 PM,0,10.5662,18.396
8/31/2025,12:45:00 PM,0,10.5663,18.403
8/31/2025,1:00:00 PM,0,10.5652,18.41
8/31/2025,1:15:00 PM,0,10.564,18.417
8/31/2025,1:30:00 PM,0,10.5632,18.426
8/31/2025,1:45:00 PM,0,10.5605,18.434
8/31/2025,2:00:00 PM,0,10.5587,18.442
8/31/2025,2:15:00 PM,0,10.5568,18.452
8/31/2025,2:30:00 PM,0,10.5566,18.464
8/31/2025,2:45:00 PM,0,10.5572,18.475
8/31/2025,3:00:00 PM,0,10.5574,18.485
8/31/2025,3:15:00 PM,0,10.5565,18.499
8/31/2025,3:30:00 PM,0,10.5548,18.511
8/31/2025,3:45:00 PM,0,10.5538,18.525
8/31/2025,4:00:00 PM,0,10.5546,18.539
8/31/2025,4:15:00 PM,0,10.554,18.555
8/31/2025,4:30:00 PM,0,10.5532,18.569
8/31/2025,4:45:00 PM,0,10.5528,18.584
8/31/2025,5:00:00 PM,0,10.5532,18.598
8/31/2025,5:15:00 PM,0,10.5534,18.612
8/31/2025,5:30:00 PM,0,10.5534,18.627
8/31/2025,5:45:00 PM,0,10.5528,18.642
8/31/2025,6:00:00 PM,0,10.5526,18.656
8/31/2025,6:15:00 PM,0,10.553,18.669
8/31/2025,6:30:00 PM,0,10.5526,18.683
8/31/2025,6:45:00 PM,0,10.5531,18.698
8/31/2025,7:00:00 PM,0,10.554,18.712
8/31/2025,7:15:00 PM,0,10.554,18.724
8/31/2025,7:30:00 PM,0,10.5545,18.739
8/31/2025,7:45:00 PM,0,10.5561,18.752
8/31/2025,8:00:00 PM,0,10.5572,18.763
8/31/2025,8:15:00 PM,0,10.5582,18.777
8/31/2025,8:30:00 PM,0,10.5589,18.79
8/31/2025,8:45:00 PM,0,10.5593,18.802
8/31/2025,9:00:00 PM,0,10.5579,18.814
8/31/2025,9:15:00 PM,0,10.5562,18.826
8/31/2025,9:30:00 PM,0,10.5569,18.838
8/31/2025,9:45:00 PM,0,10.5573,18.849
8/31/2025,10:00:00 PM,0,10.5562,18.855
8/31/2025,10:15:00 PM,0,10.5562,18.862
8/31/2025,10:30:00 PM,0,10.5549,18.87
8/31/2025,10:45:00 PM,0,10.556,18.875
8/31/2025,11:00:00 PM,0,10.556,18.881
8/31/2025,11:15:00 PM,0,10.5565,18.887
8/31/2025,11:30:00 PM,0,10.5581,18.892
8/31/2025,11:45:00 PM,0,10.5586,18.896
9/1/2025,12:00:00 AM,0,10.5587,18.899
9/1/2025,12:15:00 AM,0,10.5583,18.9
9/1/2025,12:30:00 AM,0,10.5592,18.903
9/1/2025,12:45:00 AM,0,10.558,18.903
9/1/2025,1:00:00 AM,0,10.5584,18.903
9/1/2025,1:15:00 AM,0,10.5584,18.905
9/1/2025,1:30:00 AM,0,10.559,18.905
9/1/2025,1:45:00 AM,0,10.5587,18.904
9/1/2025,2:00:00 AM,0,10.5583,18.902
9/1/2025,2:15:00 AM,0,10.5589,18.903
9/1/2025,2:30:00 AM,0,10.5601,18.898
9/1/2025,2:45:00 AM,0,10.5609,18.898
9/1/2025,3:00:00 AM,0,10.5634,18.895
9/1/2025,3:15:00 AM,0,10.5642,18.889
9/1/2025,3:30:00 AM,0,10.5648,18.887
9/1/2025,3:45:00 AM,0,10.5657,18.886
9/1/2025,4:00:00 AM,0,10.5665,18.88
9/1/2025,4:15:00 AM,0,10.5678,18.877
9/1/2025,4:30:00 AM,0,10.5679,18.873
9/1/2025,4:45:00 AM,0,10.5677,18.867
9/1/2025,5:00:00 AM,0,10.5688,18.858
9/1/2025,5:15:00 AM,0,10.5679,18.849
9/1/2025,5:30:00 AM,0,10.5681,18.838
9/1/2025,5:45:00 AM,0,10.5689,18.826
9/1/2025,6:00:00 AM,0,10.5705,18.811
9/1/2025,6:15:00 AM,0,10.5711,18.793
9/1/2025,6:30:00 AM,0,10.5719,18.774
9/1/2025,6:45:00 AM,0,10.5729,18.765
9/1/2025,7:00:00 AM,0,10.5732,18.754
9/1/2025,7:15:00 AM,0,10.5735,18.746
9/1/2025,7:30:00 AM,0,10.5741,18.74
9/1/2025,7:45:00 AM,0,10.5751,18.732
9/1/2025,8:00:00 AM,0,10.574,18.728
9/1/2025,8:15:00 AM,0,10.5752,18.72
9/1/2025,8:30:00 AM,0,10.5748,18.713
9/1/2025,8:45:00 AM,0,10.5743,18.705
9/1/2025,9:00:00 AM,0,10.5754,18.7
9/1/2025,9:15:00 AM,0,10.5774,18.694
9/1/2025,9:30:00 AM,0,10.58,18.689
9/1/2025,9:45:00 AM,0,10.5806,18.686
9/1/2025,10:00:00 AM,0,10.5788,18.681
9/1/2025,10:15:00 AM,0,10.5772,18.679
9/1/2025,10:30:00 AM,0,10.5756,18.676
9/1/2025,10:45:00 AM,0,10.5744,18.674
9/1/2025,11:00:00 AM,0,10.5738,18.675
9/1/2025,11:15:00 AM,0,10.5723,18.674
9/1/2025,11:30:00 AM,0,10.5722,18.675
9/1/2025,11:45:00 AM,0,10.5723,18.679
9/1/2025,12:00:00 PM,0,10.5723,18.681
9/1/2025,12:15:00 PM,0,10.5724,18.685
9/1/2025,12:30:00 PM,0,10.5718,18.691
9/1/2025,12:45:00 PM,0,10.5701,18.697
9/1/2025,1:00:00 PM,0,10.5703,18.703
9/1/2025,1:15:00 PM,0,10.5693,18.71
9/1/2025,1:30:00 PM,0,10.5663,18.72
9/1/2025,1:45:00 PM,0,10.5653,18.728
9/1/2025,2:00:00 PM,0,10.567,18.74
9/1/2025,2:15:00 PM,0,10.5672,18.749
9/1/2025,2:30:00 PM,0,10.5669,18.761
9/1/2025,2:45:00 PM,0,10.5671,18.771
9/1/2025,3:00:00 PM,0,10.5673,18.782
9/1/2025,3:15:00 PM,0,10.567,18.797
9/1/2025,3:30:00 PM,0,10.5654,18.81
9/1/2025,3:45:00 PM,0,10.5636,18.821
9/1/2025,4:00:00 PM,0,10.5622,18.836
9/1/2025,4:15:00 PM,0,10.5609,18.85
9/1/2025,4:30:00 PM,0,10.5615,18.866
9/1/2025,4:45:00 PM,0,10.5607,18.879
9/1/2025,5:00:00 PM,0,10.5595,18.892
9/1/2025,5:15:00 PM,0,10.5577,18.904
9/1/2025,5:30:00 PM,0,10.5568,18.919
9/1/2025,5:45:00 PM,0,10.5563,18.932
9/1/2025,6:00:00 PM,0,10.5541,18.944
9/1/2025,6:15:00 PM,0,10.5553,18.963
9/1/2025,6:30:00 PM,0,10.5603,18.974
9/1/2025,6:45:00 PM,0,10.5617,18.984
9/1/2025,7:00:00 PM,0,10.5665,18.995
9/1/2025,7:15:00 PM,0,10.5651,19.006
9/1/2025,7:30:00 PM,0,10.5674,19.017
9/1/2025,7:45:00 PM,0,10.5703,19.03
9/1/2025,8:00:00 PM,0,10.5704,19.044
9/1/2025,8:15:00 PM,0,10.5692,19.058
9/1/2025,8:30:00 PM,0,10.5705,19.069
9/1/2025,8:45:00 PM,0,10.5725,19.084
9/1/2025,9:00:00 PM,0,10.5742,19.096
9/1/2025,9:15:00 PM,0,10.5777,19.111
9/1/2025,9:30:00 PM,0,10.577,19.122
9/1/2025,9:45:00 PM,0,10.5745,19.136
9/1/2025,10:00:00 PM,0,10.5751,19.148
9/1/2025,10:15:00 PM,0,10.5752,19.159
9/1/2025,10:30:00 PM,0,10.5757,19.168
9/1/2025,10:45:00 PM,0,10.5778,19.178
9/1/2025,11:00:00 PM,0,10.582,19.188
9/1/2025,11:15:00 PM,0,10.58,19.199
9/1/2025,11:30:00 PM,0,10.581,19.207
9/1/2025,11:45:00 PM,0,10.5824,19.216
